GO term	Description	P-value	FDR q-value	Enrichment (N, B, n, b)	Genes
GO:0006325	chromatin organization	1.05E-14	7.05E-11	2.42 (737,75,211,52)	[+] Show genes
GO:0090304	nucleic acid metabolic process	4.85E-12	1.62E-8	2.05 (737,102,211,60)	[+] Show genes
GO:0043170	macromolecule metabolic process	1.75E-11	3.91E-8	1.52 (737,272,211,118)	[+] Show genes
GO:0044237	cellular metabolic process	3.05E-11	5.11E-8	1.42 (737,334,211,136)	[+] Show genes
GO:0044260	cellular macromolecule metabolic process	5.33E-11	7.14E-8	1.56 (737,237,211,106)	[+] Show genes
GO:0006259	DNA metabolic process	5.95E-11	6.64E-8	2.62 (737,44,211,33)	[+] Show genes
GO:0044238	primary metabolic process	7.01E-11	6.7E-8	1.44 (737,316,211,130)	[+] Show genes
GO:2000112	regulation of cellular macromolecule biosynthetic process	9.33E-11	7.81E-8	1.59 (737,220,211,100)	[+] Show genes
GO:0009889	regulation of biosynthetic process	1.14E-10	8.46E-8	1.55 (737,236,211,105)	[+] Show genes
GO:0006139	nucleobase-containing compound metabolic process	1.28E-10	8.55E-8	1.86 (737,126,211,67)	[+] Show genes
GO:0016569	covalent chromatin modification	1.46E-10	8.88E-8	2.49 (737,49,211,35)	[+] Show genes
GO:0031326	regulation of cellular biosynthetic process	1.69E-10	9.41E-8	1.55 (737,234,211,104)	[+] Show genes
GO:0008152	metabolic process	3.63E-10	1.87E-7	1.38 (737,349,211,138)	[+] Show genes
GO:0016570	histone modification	4.46E-10	2.13E-7	2.51 (737,46,211,33)	[+] Show genes
GO:0006807	nitrogen compound metabolic process	5.44E-10	2.43E-7	1.42 (737,309,211,126)	[+] Show genes
GO:0071704	organic substance metabolic process	7.5E-10	3.14E-7	1.39 (737,334,211,133)	[+] Show genes
GO:0010556	regulation of macromolecule biosynthetic process	7.87E-10	3.1E-7	1.55 (737,226,211,100)	[+] Show genes
GO:0034641	cellular nitrogen compound metabolic process	1.45E-9	5.39E-7	1.73 (737,145,211,72)	[+] Show genes
GO:0046483	heterocycle metabolic process	2.09E-9	7.36E-7	1.77 (737,132,211,67)	[+] Show genes
GO:0010468	regulation of gene expression	2.24E-9	7.5E-7	1.49 (737,248,211,106)	[+] Show genes
GO:0019219	regulation of nucleobase-containing compound metabolic process	2.32E-9	7.41E-7	1.53 (737,223,211,98)	[+] Show genes
GO:0006281	DNA repair	5.16E-9	1.57E-6	3.04 (737,23,211,20)	[+] Show genes
GO:0010564	regulation of cell cycle process	1.37E-8	3.99E-6	2.31 (737,50,211,33)	[+] Show genes
GO:0080090	regulation of primary metabolic process	1.41E-8	3.95E-6	1.39 (737,310,211,123)	[+] Show genes
GO:0019222	regulation of metabolic process	1.44E-8	3.85E-6	1.36 (737,334,211,130)	[+] Show genes
