symbol	score	entrez
AGAP1	4.0	116987.0
AMT	3.0	275.0
ARHGEF10	4.0	9639.0
ARNT2	4.0	9915.0
ABAT	4.0	18.0
ASTN2	3.0	23245.0
CADM1	4.0	23705.0
CDH11	4.0	1009.0
CGNL1	3.0	84952.0
CLN8	4.0	2055.0
CNTNAP3	4.0	79937.0
DIP2C	2.0	22982.0
DIXDC1	4.0	85458.0
DNER	4.0	92737.0
DOCK1	4.0	1793.0
DST	4.0	667.0
EPHB2	4.0	2048.0
EXT1	4.0	2131.0
GPC4	3.0	2239.0
LAMB1	3.0	3912.0
MAOA	4.0	4128.0
MYO1E	4.0	4643.0
NEO1	4.0	4756.0
NINL	3.0	22981.0
NR3C2	3.0	4306.0
NR4A2	4.0	4929.0
MYH10	3.0	4628.0
NEGR1	4.0	257194.0
NFIB	4.0	4781.0
NPAS2	4.0	4862.0
NUAK1	3.0	9891.0
P4HA2	3.0	8974.0
PBX1	4.0	5087.0
PRICKLE1	3.0	144165.0
PRUNE2	4.0	158471.0
PLAUR	4.0	5329.0
PRKCA	4.0	5578.0
PXDN	4.0	7837.0
RASSF5	4.0	83593.0
RPS6KA2	4.0	6196.0
SASH1	4.0	23328.0
STXBP1	3.0	6812.0
SERPINE1	4.0	5054.0
SYT17	4.0	51760.0
TBC1D5	4.0	9779.0
THBS1	4.0	7057.0
TRIO	2.0	7204.0
TSHZ3	4.0	57616.0
ZBTB20	3.0	26137.0
ZNF462	4.0	58499.0
