symbol	score	entrez
ADA	3.0	100.0
ADCY3	3.0	109.0
ANXA1	3.0	301.0
ARHGEF10	4.0	9639.0
ABAT	4.0	18.0
ASAP2	3.0	8853.0
AUTS2	3.0	26053.0
BBS4	4.0	585.0
CADM1	4.0	23705.0
CASK	4.0	8573.0
CDH11	4.0	1009.0
CHD2	1.0	1106.0
CUX1	2.0	1523.0
CYFIP1	3.0	23191.0
CPEB4	3.0	80315.0
DIP2C	2.0	22982.0
DPYD	4.0	1806.0
DPYSL2	3.0	1808.0
DPYSL3	4.0	1809.0
DST	4.0	667.0
EPHB2	4.0	2048.0
EXT1	4.0	2131.0
FAT1	4.0	2195.0
FOXP1	2.0	27086.0
GPX1	4.0	2876.0
HLA-A	4.0	3105.0
HLA-B	4.0	3106.0
HLA-G	4.0	3135.0
INPP1	4.0	3628.0
IRF2BPL	2.0	64207.0
ITPR1	4.0	3708.0
KANK1	4.0	23189.0
LAMB1	3.0	3912.0
MEF2C	4.0	4208.0
MET	2.0	4233.0
MYO1E	4.0	4643.0
MYO5A	3.0	4644.0
MYO5C	4.0	55930.0
NAV2	3.0	89797.0
NFIA	4.0	4774.0
NR2F1	4.0	7025.0
NRP2	4.0	8828.0
MYH10	3.0	4628.0
NFIB	4.0	4781.0
NUAK1	3.0	9891.0
P4HA2	3.0	8974.0
PBX1	4.0	5087.0
PRICKLE1	3.0	144165.0
PSD3	4.0	23362.0
PLAUR	4.0	5329.0
PRKCA	4.0	5578.0
PTGS2	4.0	5743.0
PXDN	4.0	7837.0
RASSF5	4.0	83593.0
RNF135	4.0	84282.0
RPS6KA2	4.0	6196.0
SASH1	4.0	23328.0
SDC2	4.0	6383.0
SLC7A5	3.0	8140.0
ST7	4.0	7982.0
STXBP1	3.0	6812.0
SYNE1	4.0	23345.0
SERPINE1	4.0	5054.0
TBC1D5	4.0	9779.0
TBL1X	4.0	6907.0
TCF4	3.0	6925.0
TCF7L2	3.0	6934.0
THBS1	4.0	7057.0
TRIO	2.0	7204.0
UBE2H	4.0	7328.0
WWOX	3.0	51741.0
VDR	4.0	7421.0
ZBTB20	3.0	26137.0
ZNF827	4.0	152485.0
