symbol	score	entrez
ABCA7	4.0	10347.0
AGAP2	3.0	116986.0
AGBL4	4.0	84871.0
AGO1	3.0	26523.0
ANKRD11	2.0	29123.0
APH1A	3.0	51107.0
ARID1B	1.0	57492.0
ACTN4	4.0	81.0
BICDL1	4.0	92558.0
CACNA1H	2.0	8912.0
CACNA1I	4.0	8911.0
CARD11	4.0	84433.0
CC2D1A	3.0	54862.0
CD276	4.0	80381.0
CDC42BPB	3.0	9578.0
CHD3	4.0	1107.0
CHMP1A	3.0	5119.0
CHRNA7	3.0	1139.0
CIC	2.0	23152.0
CNOT3	2.0	4849.0
DNAH3	4.0	55567.0
DNER	4.0	92737.0
DNMT3A	3.0	1788.0
DLX2	4.0	1746.0
EHMT1	3.0	79813.0
GIGYF1	3.0	64599.0
GNB1L	4.0	54584.0
GSTM1	4.0	2944.0
IQSEC2	4.0	23096.0
KCTD13	4.0	253980.0
KDM5C	3.0	8242.0
KLF16	4.0	83855.0
LIN7B	4.0	64130.0
LZTR1	3.0	8216.0
MAPK3	4.0	5595.0
MDGA2	4.0	161357.0
LZTS2	4.0	84445.0
MTHFR	4.0	4524.0
NACC1	4.0	112939.0
NLGN2	4.0	57555.0
NR1D1	4.0	9572.0
MNT	4.0	4335.0
NRXN2	4.0	9379.0
PHRF1	3.0	57661.0
PITX1	4.0	5307.0
PLXNA3	4.0	55558.0
PLXNB1	3.0	5364.0
POMT1	4.0	10585.0
RAB11FIP5	4.0	26056.0
RAB43	3.0	339122.0
PDK2	4.0	5164.0
SBF1	3.0	6305.0
SETD5	1.0	55209.0
SEZ6L2	4.0	26470.0
SGSM3	4.0	27352.0
SLC27A4	4.0	10999.0
SLC29A4	4.0	222962.0
SMG6	4.0	23293.0
SRCAP	2.0	10847.0
TAF1C	4.0	9013.0
TAOK2	2.0	9344.0
TCF20	2.0	6942.0
TRAPPC9	3.0	83696.0
TSC2	3.0	7249.0
THRA	4.0	7067.0
TRAF7	4.0	84231.0
