entrez	cid	symbol	score
100	0	ADA	3.0
10492	0	SYNCRIP	4.0
10664	0	CTCF	3.0
11103	0	KRR1	4.0
132	0	ADK	4.0
2109	0	ETFB	3.0
2171	0	FABP5	4.0
23649	0	POLA2	4.0
27131	0	SNX5	3.0
27347	0	STK39	4.0
3150	0	HMGN1	3.0
3608	0	ILF2	2.0
4173	0	MCM4	4.0
4175	0	MCM6	4.0
5245	0	PHB	3.0
5519	0	PPP2R1B	4.0
55689	0	YEATS2	4.0
5591	0	PRKDC	4.0
6342	0	SCP2	4.0
6749	0	SSRP1	4.0
7337	0	UBE3A	3.0
8562	0	DENR	3.0
8930	0	MBD4	4.0
900	0	CCNG1	3.0
9603	0	NFE2L3	3.0
10055	0	SAE1	3.0
10237	0	SLC35B1	3.0
10575	0	CCT4	3.0
123169	0	LEO1	2.0
128239	0	IQGAP3	4.0
134492	0	NUDCD2	3.0
1977	0	EIF4E	4.0
25913	0	POT1	4.0
259266	0	ASPM	3.0
26610	0	ELP4	3.0
2739	0	GLO1	4.0
2820	0	GPD2	4.0
3192	0	HNRNPU	4.0
4076	0	CAPRIN1	3.0
51629	0	SLC25A39	4.0
55055	0	ZWILCH	4.0
55746	0	NUP133	4.0
5781	0	PTPN11	4.0
6418	0	SET	2.0
6597	0	SMARCA4	3.0
675	0	BRCA2	4.0
7514	0	XPO1	4.0
7531	0	YWHAE	4.0
7874	0	USP7	2.0
80155	0	NAA15	1.0
81614	0	NIPA2	4.0
9126	0	SMC3	4.0
93594	0	TBC1D31	3.0
9928	0	KIF14	3.0
2969	0	GTF2I	4.0
65109	0	UPF3B	2.0
1376	0	CPT2	4.0
152579	0	SCFD2	4.0
476	0	ATP1A1	4.0
5191	0	PEX7	4.0
85015	0	USP45	3.0
94056	0	SYAP1	4.0
10243	0	GPHN	3.0
2475	0	MTOR	3.0
114791	0	TUBGCP5	4.0
51678	0	MPP6	4.0
6647	0	SOD1	4.0
9456	0	HOMER1	4.0
9690	0	UBE3C	3.0
116211	0	TM4SF19	4.0
57691	0	KIAA1586	3.0
54870	0	QRICH1	4.0
8604	0	SLC25A12	4.0
56160	0	NSMCE3	4.0
199777	0	ZNF626	4.0
109	1	ADCY3	3.0
1808	1	DPYSL2	3.0
2239	1	GPC4	3.0
23191	1	CYFIP1	3.0
23229	1	ARHGEF9	4.0
27086	1	FOXP1	2.0
2876	1	GPX1	4.0
301	1	ANXA1	3.0
3105	1	HLA-A	4.0
3106	1	HLA-B	4.0
3135	1	HLA-G	4.0
3912	1	LAMB1	3.0
4774	1	NFIA	4.0
5054	1	SERPINE1	4.0
5329	1	PLAUR	4.0
5578	1	PRKCA	4.0
5579	1	PRKCB	3.0
5754	1	PTK7	3.0
667	1	DST	4.0
7057	1	THBS1	4.0
7837	1	PXDN	4.0
8140	1	SLC7A5	3.0
84056	1	KATNAL1	4.0
8828	1	NRP2	4.0
8974	1	P4HA2	3.0
89797	1	NAV2	3.0
3708	1	ITPR1	4.0
51741	1	WWOX	3.0
7982	1	ST7	4.0
8573	1	CASK	4.0
9639	1	ARHGEF10	4.0
10071	1	MUC12	4.0
4781	1	NFIB	4.0
22941	1	SHANK2	2.0
10082	1	GPC6	4.0
1009	1	CDH11	4.0
1809	1	DPYSL3	4.0
22982	1	DIP2C	2.0
23189	1	KANK1	4.0
23314	1	SATB2	4.0
23362	1	PSD3	4.0
4481	1	MSR1	4.0
57616	1	TSHZ3	4.0
6925	1	TCF4	3.0
7025	1	NR2F1	4.0
9891	1	NUAK1	3.0
1499	1	CTNNB1	3.0
158471	1	PRUNE2	4.0
1793	1	DOCK1	4.0
1806	1	DPYD	4.0
2048	1	EPHB2	4.0
2078	1	ERG	4.0
2131	1	EXT1	4.0
23328	1	SASH1	4.0
23345	1	SYNE1	4.0
23705	1	CADM1	4.0
26053	1	AUTS2	3.0
26137	1	ZBTB20	3.0
287	1	ANK2	1.0
3123	1	HLA-DRB1	4.0
367	1	AR	4.0
3778	1	KCNMA1	4.0
4208	1	MEF2C	4.0
4233	1	MET	2.0
4628	1	MYH10	3.0
4862	1	NPAS2	4.0
5087	1	PBX1	4.0
5743	1	PTGS2	4.0
6383	1	SDC2	4.0
6505	1	SLC1A1	4.0
6934	1	TCF7L2	3.0
7204	1	TRIO	2.0
8853	1	ASAP2	3.0
9037	1	SEMA5A	3.0
9732	1	DOCK4	4.0
26960	1	NBEA	4.0
288	1	ANK3	3.0
4128	1	MAOA	4.0
4306	1	NR3C2	3.0
55930	1	MYO5C	4.0
84952	1	CGNL1	3.0
10207	1	PATJ	4.0
10288	1	LILRB2	4.0
11326	1	VSIG4	4.0
57705	1	WDFY4	3.0
5788	1	PTPRC	4.0
64207	1	IRF2BPL	2.0
83593	1	RASSF5	4.0
9056	1	SLC7A7	4.0
3772	1	KCNJ15	4.0
5294	1	PIK3CG	4.0
7850	1	IL1R2	4.0
144165	1	PRICKLE1	3.0
2195	1	FAT1	4.0
4644	1	MYO5A	3.0
6812	1	STXBP1	3.0
7421	1	VDR	4.0
3628	1	INPP1	4.0
152485	1	ZNF827	4.0
18	1	ABAT	4.0
4897	1	NRCAM	4.0
53335	1	BCL11A	2.0
55227	1	LRRC1	4.0
6196	1	RPS6KA2	4.0
84282	1	RNF135	4.0
116987	1	AGAP1	4.0
3800	1	KIF5C	4.0
5101	1	PCDH9	4.0
85458	1	DIXDC1	4.0
375775	1	PNPLA7	4.0
85358	1	SHANK3	1.0
27185	1	DISC1	3.0
4756	1	NEO1	4.0
26040	1	SETBP1	3.0
321	1	APBA2	4.0
9779	1	TBC1D5	4.0
111	1	ADCY5	4.0
57580	1	PREX1	3.0
26115	1	TANC2	3.0
22846	1	VASH1	4.0
4929	1	NR4A2	4.0
285195	1	SLC9A9	4.0
114571	1	SLC22A9	4.0
7566	1	ZNF18	4.0
23245	1	ASTN2	3.0
9783	1	RIMS3	4.0
9743	1	ARHGAP32	4.0
26047	1	CNTNAP2	2.0
257194	1	NEGR1	4.0
9369	1	NRXN3	3.0
1501	1	CTNND2	2.0
2055	1	CLN8	4.0
140	1	ADORA3	4.0
140733	1	MACROD2	2.0
154664	1	ABCA13	4.0
783	1	CACNB2	3.0
9901	1	SRGAP3	4.0
166336	1	PRICKLE2	3.0
3382	1	ICA1	3.0
